レースID,年月日,レースNo,レース名,クラス,種別,距離,天候,状態,発走,競馬場,条件,
201605010511,2016年2月13日,11,第51回デイリー杯クイーンC,G3,芝左,1600,晴,良,15:45,1回東京5日目,3歳オープン(国際),
201605010611,2016年2月14日,11,第50回共同通信杯,G3,芝左,1800,晴,稍重,15:45,1回東京6日目,3歳オープン(国際)(特指)(別定),
201605010711,2016年2月20日,11,第66回ダイヤモンドS,G3,芝左,3400,雨,稍重,15:45,1回東京7日目,4歳以上オープン(国際)[指](ハンデ),
201605010811,2016年2月21日,11,第33回フェブラリーS,G1,ダ左,1600,晴,重,15:40,1回東京8日目,4歳以上オープン(国際)(指)(定量),
201605020211,2016年4月24日,11,第51回サンスポ賞フローラS,G2,芝左,2000,曇,良,15:45,2回東京2日目,3歳オープン(国際),
201605020311,2016年4月30日,11,第23回テレビ東京杯青葉賞,G2,芝左,2400,晴,良,15:45,2回東京3日目,3歳オープン(国際)(指)(馬齢),
201605020611,2016年5月8日,11,第21回NHKマイルカップ,G1,芝左,1600,晴,良,15:40,2回東京6日目,3歳オープン(国際),
201605020711,2016年5月14日,11,第61回京王杯スプリングC,G2,芝左,1400,晴,良,15:45,2回東京7日目,4歳以上オープン(国際)(指)(別定),
201605020811,2016年5月15日,11,第11回ヴィクトリアマイル,G1,芝左,1600,晴,良,15:40,2回東京8日目,4歳以上オープン(国際),
201605021011,2016年5月22日,11,第77回優駿牝馬,G1,芝左,2400,晴,良,15:40,2回東京10日目,3歳オープン(国際),
201605021210,2016年5月29日,10,第83回東京優駿,G1,芝左,2400,晴,良,15:40,2回東京12日目,3歳オープン(国際),
201605021212,2016年5月29日,12,第130回目黒記念,G2,芝左,2500,晴,良,17:05,2回東京12日目,4歳以上オープン(国際)[指](ハンデ),
201605030211,2016年6月5日,11,第66回安田記念,G1,芝左,1600,晴,良,15:40,3回東京2日目,3歳以上オープン(国際)(指)(定量),
201605030411,2016年6月12日,11,第33回エプソムカップ,G3,芝左,1800,曇,良,15:45,3回東京4日目,3歳以上オープン(国際)(特指)(別定),
201605030611,2016年6月19日,11,第21回ユニコーンステークス,G3,ダ左,1600,曇,良,15:45,3回東京6日目,3歳オープン(国際)(指)(別定),
201605030708,2016年6月25日,8,第18回東京ジャンプS,J.G3,障芝,3110,曇,稍重,14:01,3回東京7日目,障害3歳以上オープン(混)(別定),
201605040111,2016年10月8日,11,第2回サウジアラビアRC,G3,芝左,1600,曇,稍重,15:45,4回東京1日目,2歳オープン(国際)(特指)(馬齢),
201605040211,2016年10月9日,11,第67回毎日王冠,G2,芝左,1800,曇,稍重,15:45,4回東京2日目,3歳以上オープン(国際)(指)(別定),
201605040411,2016年10月15日,11,第64回府中牝馬ステークス,G2,芝左,1800,晴,良,15:45,4回東京4日目,3歳以上オープン(国際),
